"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","185","test_new_tab[chromium]","","Sat Jan 03 00:11:00 UTC 2026","passed","Sat Jan 03 00:11:00 UTC 2026","","test_built-in_locators5","",""
"","1181","test_mynetwork2[chromium]","","Sat Jan 03 00:11:13 UTC 2026","passed","Sat Jan 03 00:11:14 UTC 2026","","test_request_monitoring6","",""
"","248","test_many_checkboxes2[chromium]","","Sat Jan 03 00:10:53 UTC 2026","passed","Sat Jan 03 00:10:54 UTC 2026","TestCheckboxes","test_built-in_locators5","",""
"","55","test_inventory[chromium]","","Sat Jan 03 00:11:21 UTC 2026","passed","Sat Jan 03 00:11:21 UTC 2026","","test_request_monitoring6","",""
"","0","test_network[chromium]","","Sat Jan 03 00:11:11 UTC 2026","skipped","Sat Jan 03 00:11:11 UTC 2026","","test_request_monitoring6","",""
"","399","test_screenshots[chromium]","","Sat Jan 03 00:10:59 UTC 2026","passed","Sat Jan 03 00:11:00 UTC 2026","","test_built-in_locators5","",""
"","174","test_drag_and_drop[chromium]","","Sat Jan 03 00:10:54 UTC 2026","passed","Sat Jan 03 00:10:54 UTC 2026","","test_built-in_locators5","",""
"","10","test_add_user[chromium]","","Sat Jan 03 00:11:21 UTC 2026","passed","Sat Jan 03 00:11:21 UTC 2026","","test_request_monitoring6","",""
"","443","test_mock_tags[chromium]","","Sat Jan 03 00:11:14 UTC 2026","passed","Sat Jan 03 00:11:15 UTC 2026","","test_request_monitoring6","",""
"","3200","test_dialogs[chromium]","","Sat Jan 03 00:10:54 UTC 2026","passed","Sat Jan 03 00:10:57 UTC 2026","","test_built-in_locators5","",""
"","141","Авторизация с недействительными учетными данными","PageObjectByAntonZimaev.tests","Sat Jan 03 00:10:52 UTC 2026","passed","Sat Jan 03 00:10:52 UTC 2026","","test_login_allure","",""
"","197","test_login_failure[chromium]","PageObjectByAntonZimaev.tests","Sat Jan 03 00:10:51 UTC 2026","passed","Sat Jan 03 00:10:51 UTC 2026","","test_login","",""
"","303","test_login_success[chromium-admin-admin]","PageObjectByAntonZimaev.tests","Sat Jan 03 00:11:25 UTC 2026","passed","Sat Jan 03 00:11:25 UTC 2026","","test_login","",""
"","283","Авторизация с корректными учетными данными","PageObjectByAntonZimaev.tests","Sat Jan 03 00:11:25 UTC 2026","passed","Sat Jan 03 00:11:25 UTC 2026","","test_login_allure","",""
"","6257","test_expect[chromium]","","Sat Jan 03 00:11:00 UTC 2026","passed","Sat Jan 03 00:11:06 UTC 2026","","test_expect","",""
"","103","test_upload_file3[chromium]","","Sat Jan 03 00:10:58 UTC 2026","passed","Sat Jan 03 00:10:58 UTC 2026","TestUploadFile","test_built-in_locators5","",""
"","1087","test_replace_from_myhar[chromium]","","Sat Jan 03 00:11:20 UTC 2026","passed","Sat Jan 03 00:11:21 UTC 2026","","test_request_monitoring6","",""
"","3217","test_add_todo[chromium]","","Sat Jan 03 00:11:21 UTC 2026","passed","Sat Jan 03 00:11:25 UTC 2026","","test_todo_pytest-playwright_fixture_page4","",""
"","130","test_filter[chromium]","","Sat Jan 03 00:10:53 UTC 2026","passed","Sat Jan 03 00:10:53 UTC 2026","","test_built-in_locators5","",""
"","263","test_many_checkboxes[chromium]","","Sat Jan 03 00:10:53 UTC 2026","passed","Sat Jan 03 00:10:53 UTC 2026","TestCheckboxes","test_built-in_locators5","",""
"Описание теста","5033","test_listen_network[chromium]","","Sat Jan 03 00:11:06 UTC 2026","passed","Sat Jan 03 00:11:11 UTC 2026","","test_request_monitoring6","",""
